,index,diam_app,height_app,lat,lon,row,tree_idx,SN_x,Row#,Tree#,species,height_app,diam_app,method,site,SN_y,diam,height,height,diam
0,0,10.659240596876371,287.48935288957415,37.20027462816947,-80.57202507426074,1.0,1.0,1,1,1,Honey Locust,422.40000000000003,11.6,manual_1,kentland,1,11.6,452.40000000000003,437.40000000000003,11.6
1,0,10.150927375620745,318.3452914080282,37.19929632268119,-80.57513830500324,1.0,3.0,3,1,3,Honey Locust,502.79999999999995,10.8,manual_1,kentland,3,10.9,481.20000000000005,492.0,10.850000000000001
2,0,8.25305095338446,302.9771958749126,37.19933273739858,-80.57509345009974,1.0,4.0,4,1,4,Honey Locust,367.20000000000005,8.8,manual_1,kentland,4,8.8,358.79999999999995,363.0,8.8
3,0,10.608365451257061,316.0349496706265,37.199439113560686,-80.57500320748343,1.0,5.0,5,1,5,Honey Locust,435.59999999999997,10.9,manual_1,kentland,5,10.9,427.20000000000005,431.4,10.9
4,0,10.569624778792615,290.47795168058144,37.199194432848344,-80.57520616968446,1.0,2.0,2,1,2,Honey Locust,472.79999999999995,11.8,manual_1,kentland,2,11.8,428.40000000000003,450.6,11.8
5,0,8.971394281687699,271.72944677157665,37.19917440324761,-80.5753776804363,2.0,1.0,6,2,1,Honey Locust,380.4,9.2,manual_1,kentland,6,9.2,396.0,388.2,9.2
6,0,7.722582668066026,302.5035079069964,37.19929725433846,-80.57513801142278,2.0,3.0,8,2,3,Honey Locust,428.40000000000003,6.799999999999999,manual_1,kentland,8,6.8,432.0,430.20000000000005,6.799999999999999
7,0,7.622158277066049,237.58564095484613,37.199180380997326,-80.5754861325691,2.0,4.0,9,2,4,Honey Locust,448.79999999999995,7.900000000000001,manual_1,kentland,9,7.7,349.20000000000005,399.0,7.800000000000001
8,0,8.705516304243895,242.91076059416523,37.19950766381614,-80.57502895217958,2.0,5.0,10,2,5,Honey Locust,481.20000000000005,9.0,manual_1,kentland,10,9.0,327.59999999999997,404.4,9.0
9,0,10.28707646948146,335.4169627812904,37.199301305261685,-80.57527843870274,2.0,2.0,7,2,2,Honey Locust,560.4000000000001,11.0,manual_1,kentland,7,11.0,518.4000000000001,539.4000000000001,11.0
10,0,11.431238860908769,321.81412529131876,37.19916822237101,-80.57566777864669,4.0,1.0,17,4,1,Honey Locust,529.2,12.2,manual_1,kentland,17,12.2,549.5999999999999,539.4,12.2
11,0,8.602894823069336,302.21706926040446,37.19947992811648,-80.57546105220797,4.0,3.0,19,4,3,Honey Locust,432.0,9.2,manual_1,kentland,19,9.3,420.0,426.0,9.25
12,0,11.882079750534118,348.17907753891836,37.199338092998346,-80.57549568278918,4.0,4.0,20,4,4,Honey Locust,567.5999999999999,12.4,manual_1,kentland,20,12.3,628.8,598.1999999999999,12.350000000000001
13,0,6.689995018828886,234.9651016275401,37.19953496485643,-80.57533594116894,4.0,5.0,21,4,5,Honey Locust,278.4,6.7,manual_1,kentland,21,6.7,277.20000000000005,277.8,6.7
14,0,9.02252970874466,281.89867500245106,37.19934752150238,-80.57555363806242,4.0,2.0,18,4,2,Honey Locust,385.20000000000005,9.5,manual_1,kentland,18,9.6,394.79999999999995,390.0,9.55
15,0,10.705086698369405,294.5542836126693,37.19967250281006,-80.5751934281825,4.0,6.0,22,4,6,Honey Locust,511.20000000000005,11.6,manual_1,kentland,22,12.0,427.20000000000005,469.20000000000005,11.8
16,0,11.307907503420914,337.9523660254291,37.19918391366137,-80.57553435465007,3.0,1.0,11,3,1,Honey Locust,505.20000000000005,11.7,manual_1,kentland,11,11.8,525.5999999999999,515.4,11.75
17,0,7.531869364535716,271.2465740564302,37.19933387306994,-80.57540194863657,3.0,3.0,13,3,3,Honey Locust,309.6,8.2,manual_1,kentland,13,8.2,295.20000000000005,302.40000000000003,8.2
18,0,9.988321094062385,304.7266907579317,37.19943098275533,-80.57532587971525,3.0,4.0,14,3,4,Honey Locust,534.0,10.1,manual_1,kentland,14,10.2,552.0,543.0,10.149999999999999
19,0,8.959403246875823,312.572192019365,37.19954602407894,-80.57521363725982,3.0,5.0,15,3,5,Honey Locust,421.20000000000005,9.0,manual_1,kentland,15,9.1,378.0,399.6,9.05
20,0,7.973768286348328,244.45445518794023,37.199573884752766,-80.57514177177154,3.0,6.0,16,3,6,Honey Locust,280.79999999999995,8.3,manual_1,kentland,16,8.3,310.79999999999995,295.79999999999995,8.3
21,0,16.067434600957736,392.65685194120636,37.199450943188,-80.57586001705431,6.0,1.0,29,6,1,Black Walnut,788.4000000000001,17.5,manual_1,kentland,29,17.5,795.5999999999999,792.0,17.5
22,0,12.847054896392223,427.39482689404423,37.199536986216934,-80.5758125685018,6.0,3.0,31,6,3,Black Walnut,720.0,14.9,manual_1,kentland,31,14.9,817.1999999999999,768.5999999999999,14.9
23,0,10.13593313105776,366.3311542801344,37.199644450329565,-80.57565095401765,6.0,4.0,32,6,4,Black Walnut,565.2,11.8,manual_1,kentland,32,11.8,544.8,555.0,11.8
24,0,8.269923291807102,332.61376728848836,37.19967835656746,-80.57558732216819,6.0,5.0,33,6,5,Black Walnut,518.4000000000001,9.7,manual_1,kentland,33,9.7,546.0,532.2,9.7
25,0,16.544117858716508,396.68723979959964,37.19946417961009,-80.57581932291441,6.0,2.0,30,6,2,Black Walnut,808.8000000000001,18.1,manual_1,kentland,30,18.1,854.4000000000001,831.6000000000001,18.1
26,0,12.423264307612824,377.02439025318216,37.19973467266992,-80.57552478843023,6.0,6.0,34,6,6,Black Walnut,620.4000000000001,13.7,manual_1,kentland,34,13.7,638.4000000000001,629.4000000000001,13.7
27,0,12.122353934866238,304.5193854905176,37.199788458494794,-80.57551823396221,6.0,7.0,35,6,7,Black Walnut,465.59999999999997,14.0,manual_1,kentland,35,13.6,542.4000000000001,504.0,13.8
28,0,8.819948324537654,253.14561964020015,37.19931154858578,-80.57574270346973,5.0,1.0,23,5,1,Honey Locust,355.20000000000005,9.3,manual_1,kentland,23,9.3,435.59999999999997,395.4,9.3
29,0,10.636412487255306,337.3885530186451,37.199481138994244,-80.57549678728037,5.0,3.0,25,5,3,Honey Locust,538.8,11.2,manual_1,kentland,25,11.2,492.0,515.4,11.2
30,0,4.9694766855146,200.17410826495313,37.19959415280651,-80.57558663005918,5.0,4.0,26,5,4,Honey Locust,258.0,5.3,manual_1,kentland,26,5.4,273.6,265.8,5.35
31,0,7.7679568505662635,254.12035739327982,37.199649514881926,-80.57545979845861,5.0,5.0,27,5,5,Honey Locust,333.59999999999997,8.3,manual_1,kentland,27,8.2,438.0,385.79999999999995,8.25
32,0,13.669746245924882,395.18726153636544,37.19938707308589,-80.57564506314746,5.0,2.0,24,5,2,Honey Locust,615.5999999999999,14.4,manual_1,kentland,24,14.4,529.2,572.4,14.4
33,0,8.979352616419003,314.71240238880546,37.19975658743493,-80.57543192702516,5.0,6.0,28,5,6,Honey Locust,450.0,10.5,manual_1,kentland,28,10.5,416.40000000000003,433.20000000000005,10.5
34,0,14.358438610091923,340.91384392085035,37.199493956179595,-80.57595171399377,7.0,1.0,36,7,1,Black Walnut,729.5999999999999,15.9,manual_1,kentland,36,15.7,717.5999999999999,723.5999999999999,15.8
35,0,11.58378138316898,357.3078621090866,37.19964933392968,-80.57574765367731,7.0,3.0,38,7,3,Black Walnut,578.4000000000001,12.0,manual_1,kentland,38,12.3,643.2,610.8000000000001,12.15
36,0,10.853715416953321,322.6798444282351,37.1996991313409,-80.5757582607498,7.0,4.0,39,7,4,Black Walnut,534.0,11.8,manual_1,kentland,39,11.8,536.4000000000001,535.2,11.8
37,0,9.484529847235192,318.50878647931916,37.19974470793953,-80.57570843033542,7.0,5.0,40,7,5,Black Walnut,517.2,10.6,manual_1,kentland,40,11.0,508.79999999999995,513.0,10.8
38,0,11.005832806346923,363.5040606100728,37.199576936099604,-80.5759079284621,7.0,2.0,37,7,2,Black Walnut,684.0,12.4,manual_1,kentland,37,12.4,667.2,675.6,12.4
39,0,11.05541436690984,268.1826324913446,37.199846718264496,-80.5756023473718,7.0,6.0,41,7,6,Black Walnut,506.40000000000003,11.9,manual_1,kentland,41,11.9,552.0,529.2,11.9
40,0,13.506809870402018,384.4903710633125,37.19958481529605,-80.576033655805,8.0,1.0,42,8,1,Black Walnut,661.2,15.4,manual_1,kentland,42,15.4,639.5999999999999,650.4,15.4
41,0,10.467223686183218,329.24375509026794,37.19980875151297,-80.57584313291478,8.0,3.0,44,8,3,Black Walnut,628.8,11.3,manual_1,kentland,44,11.3,517.2,573.0,11.3
42,0,11.34117092360349,365.326248128896,37.19999553346668,-80.57552754130073,8.0,4.0,45,8,4,Black Walnut,504.0,12.6,manual_1,kentland,45,12.3,589.2,546.6,12.45
43,0,9.296427326878225,324.26168912351915,37.19989420442612,-80.57568703458527,8.0,5.0,46,8,5,Black Walnut,492.0,10.5,manual_1,kentland,46,10.5,488.40000000000003,490.20000000000005,10.5
44,0,11.282632435400657,364.7834797856688,37.19970691982004,-80.57594527666568,8.0,2.0,43,8,2,Black Walnut,756.0,13.0,manual_1,kentland,43,13.0,740.4000000000001,748.2,13.0
45,0,14.048426404712707,415.7468277638353,37.19964186336418,-80.5761978277074,9.0,1.0,47,9,1,Black Walnut,574.8,16.3,manual_1,kentland,47,16.3,668.4000000000001,621.6,16.3
46,0,11.32998175508394,336.2940709421954,37.19978501951448,-80.57604296050403,9.0,3.0,49,9,3,Black Walnut,555.5999999999999,12.4,manual_1,kentland,49,12.6,680.4000000000001,618.0,12.5
47,0,10.571056815582937,317.48276995861625,37.199813094598895,-80.57598192205774,9.0,4.0,50,9,4,Black Walnut,375.6,11.8,manual_1,kentland,50,12.0,361.20000000000005,368.40000000000003,11.9
48,0,9.383553067060907,256.26202267924634,37.1999599035844,-80.5758360678087,9.0,5.0,51,9,5,Black Walnut,376.79999999999995,10.3,manual_1,kentland,51,10.1,391.20000000000005,384.0,10.2
49,0,11.990684575921907,340.497512517013,37.19969478974644,-80.57612239505384,9.0,2.0,48,9,2,Black Walnut,676.8,13.1,manual_1,kentland,48,13.0,588.0,632.4,13.05
50,0,6.852689103817377,256.61494788222427,37.20000631967767,-80.57581615885437,9.0,6.0,52,9,6,Black Walnut,343.20000000000005,7.8,manual_1,kentland,52,7.8,368.4,355.8,7.8
51,0,8.847110970752446,291.48343041187195,37.20000888457261,-80.57670264978015,10.0,1.0,53,10,1,Honey Locust,417.59999999999997,9.4,manual_1,kentland,53,9.8,390.0,403.79999999999995,9.600000000000001
52,0,7.654514427729479,252.21107512947145,37.20009165586643,-80.57660646744125,10.0,3.0,55,10,3,Honey Locust,363.6,7.6,manual_1,kentland,55,7.7,346.79999999999995,355.2,7.65
53,0,7.172954950745651,274.99548093540466,37.20012956302352,-80.57656547993474,10.0,4.0,56,10,4,Honey Locust,346.79999999999995,8.2,manual_1,kentland,56,8.2,351.6,349.2,8.2
54,0,7.64998277341287,248.03458236333893,37.2001593606893,-80.57655282326095,10.0,5.0,57,10,5,Honey Locust,360.0,8.1,manual_1,kentland,57,8.2,348.0,354.0,8.149999999999999
55,0,8.975202877690474,258.08860936502776,37.20004597465365,-80.57664140642078,10.0,2.0,54,10,2,Honey Locust,453.59999999999997,9.8,manual_1,kentland,54,9.9,474.0,463.79999999999995,9.850000000000001
56,0,8.405719607520917,314.9252300813129,37.20033983703442,-80.57644860826485,10.0,6.0,58,10,6,Honey Locust,349.20000000000005,9.4,manual_1,kentland,58,9.5,361.20000000000005,355.20000000000005,9.45
57,0,8.75059525015473,294.4697420115233,37.200417429994275,-80.57575469244249,10.0,7.0,59,10,7,Honey Locust,334.8,9.5,manual_1,kentland,59,9.7,370.79999999999995,352.79999999999995,9.6
