,SN_x,Row#,Tree#,Species_x,diam_in_1,Unnamed: 0,date,lat,lon,tree_id,diam_app,height_app,species,height_url,diam_url,parcel_id,notes,row,tree_idx,height_in_1,SN_y,Species_y,Height (ft),diam_in_2,height_in_2
0,1,1,1,Honeylocust,11.6,0.0,2022-10-17 14:27:47.549,37.20261319471265,-80.56561492458567,1064FDAC-E9C5-4A25-BFD5-4E1CFDD2E221,9.521055878616695,291.3418154078206,Honey locust,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FBFC4C0C0-F346-4E56-9113-3329F752613C.png?alt=media&token=7bc6aeaa-b35f-4fdf-b35b-393fb56b80af,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F6F43924D-43B6-48CE-938A-ED34722C8B8D.png?alt=media&token=796dd9bd-fdfa-43fa-883e-0652a96be118,48A3274A-5E61-4644-8C5E-0E856E87AF4F,"Row1: p1
",1.0,1.0,422.40000000000003,1,Honeylocust,37.7,11.6,452.40000000000003
1,1,1,1,Honeylocust,11.6,0.0,2022-10-17 15:00:52.193,37.19911417901327,-80.57528654791845,53CD38DE-FC73-4A89-BBB9-84A46F45CCCC,11.21609347073112,277.9275225842093,Honey locust,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FBA6DC0E8-A54A-4CAB-B7A5-99BFDC50E913.png?alt=media&token=469c9807-c6fe-43a7-9cec-a7ac2a6383ca,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F792E4364-8D68-4399-AAF6-DE407E9DFAB6.png?alt=media&token=8e9a94a1-ade2-4210-a53d-e6b85063bd68,5F2EA33C-65AD-4826-BF5C-D585E410C877,R1P1,1.0,1.0,422.40000000000003,1,Honeylocust,37.7,11.6,452.40000000000003
2,1,1,1,Honeylocust,11.6,0.0,2022-10-26 17:52:18.014,37.19909651078248,-80.57517375027807,1A9666E5-2A51-412D-8FB2-55E401F9A2D8,11.2405724412813,293.1987206766925,Honey locust,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F4BA8AFE0-415A-42AD-9FA8-6AD9B93B4132.png?alt=media&token=545c82da-b73f-4386-a9f8-f85d4ad4b7db,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FE4A71854-5EBE-412D-8860-58372A8318EC.png?alt=media&token=ea872061-b656-448c-a1bb-d758d28e6e72,A57E7C65-8B5C-43B2-9110-5A6A4ECFBC35,R1P1,1.0,1.0,422.40000000000003,1,Honeylocust,37.7,11.6,452.40000000000003
3,2,1,2,Honeylocust,11.8,0.0,2022-10-17 15:02:30.064,37.19920386588529,-80.57520676719675,439C3D78-9C45-4E20-B36E-2F904C478C65,10.69917101559677,274.0447539982833,Honey locust,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F9ECE5F41-1AE9-4949-9A5A-EBE2DF79E014.png?alt=media&token=c8c4eab5-f631-4e61-b68d-025ef5f10a7f,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F8BA9E996-A0CD-4D97-AFC5-A16CD8A0B8D7.png?alt=media&token=ca937d0d-ef53-4697-9ae5-150cbd1705e5,5F2EA33C-65AD-4826-BF5C-D585E410C877,R1P2,1.0,2.0,472.79999999999995,2,Honeylocust,35.7,11.8,428.40000000000003
4,2,1,2,Honeylocust,11.8,0.0,2022-10-26 17:56:05.782,37.1991849998114,-80.57520557217218,6D817E09-6E1A-40B7-B473-9C43B761EDD8,10.44007854198846,306.9111493628795,Honey locust,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F2741028A-A586-4531-B587-55F425972BE4.png?alt=media&token=1b2cae46-24ed-46dc-a250-477eaf93b1da,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FBDB3EBBF-7260-4743-BB5A-E6A93F6F652D.png?alt=media&token=17828e00-ccdc-4189-9e00-2b4134a423d4,A57E7C65-8B5C-43B2-9110-5A6A4ECFBC35,R1P2,1.0,2.0,472.79999999999995,2,Honeylocust,35.7,11.8,428.40000000000003
5,3,1,3,Honeylocust,10.8,0.0,2022-10-17 15:04:25.358,37.19935155477114,-80.57508154779725,F38E946B-D28F-4241-B0BB-0706222A7724,10.01206908639022,346.2526741928942,Honey locust,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FF8E78E39-FCF1-409D-87EC-F495FEE58FE6.png?alt=media&token=06381f27-27fc-4509-999c-71091f9cabae,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F9BEB02F4-A402-444C-BA2A-77AA752163B8.png?alt=media&token=855e28ab-1c43-4470-88ef-86c95a33c4ad,5F2EA33C-65AD-4826-BF5C-D585E410C877,R1P3,1.0,3.0,502.79999999999995,3,Honeylocust,40.1,10.9,481.20000000000005
6,3,1,3,Honeylocust,10.8,0.0,2022-10-26 17:57:43.200,37.19924109059124,-80.57519506220923,B8B10222-1572-4803-B0BA-F1B7D4841EB5,10.28978566485127,290.4379086231622,Honey locust,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F3913D63F-3A0C-4592-975A-F0D15DEAB6CD.png?alt=media&token=fa6ef304-a621-4701-8932-99dfb5a645b8,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F95569EBD-C5E2-43AC-B6D6-B7CF9CDB49A5.png?alt=media&token=dbdbe7c7-7439-4911-b5fd-9de94db7daeb,A57E7C65-8B5C-43B2-9110-5A6A4ECFBC35,R1P3,1.0,3.0,502.79999999999995,3,Honeylocust,40.1,10.9,481.20000000000005
7,4,1,4,Honeylocust,8.8,0.0,2022-10-17 15:07:38.678,37.1992985392337,-80.57515027940323,57E9F62B-A93E-4103-A845-8EB5F111FE2F,8.148666559241889,305.1690041549563,Honey locust,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F67DDFB7C-47F2-4D98-892B-AE4E3BCE6E0E.png?alt=media&token=8f8d8259-c940-4eb0-a4ce-ab2be61b2053,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F208A256D-FFC4-4FBF-B225-9C982B27B625.png?alt=media&token=cbec89a3-4ff3-4c43-ab70-33433ef03e02,5F2EA33C-65AD-4826-BF5C-D585E410C877,R1P4,1.0,4.0,367.20000000000005,4,Honeylocust,29.899999999999995,8.8,358.79999999999995
8,4,1,4,Honeylocust,8.8,0.0,2022-10-26 18:01:25.190,37.19936693556346,-80.57503662079625,4C096C44-B88A-40EE-ACEE-4DCD71B3C0A1,8.357435347527032,300.7853875948688,Honey locust,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FBE59E979-8776-4BA1-9B06-97E37149ECC3.png?alt=media&token=b6eeb843-f26b-4149-b0e6-e2d60d93f093,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FEA5EC878-17B9-4E0F-953D-3A1A65EF6262.png?alt=media&token=f1451ae9-3c4e-4941-bcc0-a04987c2596b,A57E7C65-8B5C-43B2-9110-5A6A4ECFBC35,R1P4,1.0,4.0,367.20000000000005,4,Honeylocust,29.899999999999995,8.8,358.79999999999995
9,5,1,5,Honeylocust,10.9,0.0,2022-10-17 15:09:15.281,37.19943264968445,-80.57502807125499,0FBE05E3-59E2-42ED-B513-0DECB79780F1,10.38578903581214,281.5847509489285,Honey locust,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F764D4F71-92EA-431A-9483-5A88983FBDED.png?alt=media&token=0caa7445-bebf-4d87-a7a9-071ebb580a7e,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F2CB5BF8C-F6F5-42B6-8D31-A3419D2586E9.png?alt=media&token=7fa6776d-4d55-4f1d-b69a-8e5d5799b7ff,5F2EA33C-65AD-4826-BF5C-D585E410C877,R1P5,1.0,5.0,435.59999999999997,5,Honeylocust,35.6,10.9,427.20000000000005
